Date,Days,STIR,LSR,SSR,d1,d2,d3,d4,d5
27/3/1998,Friday,0.007512193,0.009298241,0.026267151,0,0,0,0,1
30/3/1998,Monday,-0.009293067,-0.008771138,-0.019419061,1,0,0,0,0
31/3/1998,Tuesday,-0.016542665,-0.010332209,-0.019846622,0,1,0,0,0
1/4/1998,Wednesday,-0.016896299,-0.017586431,-0.034710226,0,0,1,0,0
2/4/1998,Thursday,-0.01084294,-0.014069221,-0.020490039,0,0,0,1,0
3/4/1998,Friday,-0.023107755,-0.030310418,-0.019004025,0,0,0,0,1
6/4/1998,Monday,-0.002043481,0.000717594,-0.037004146,1,0,0,0,0
7/4/1998,Tuesday,0,0,0,0,1,0,0,0
8/4/1998,Wednesday,0.007324381,0.005686993,0.025867686,0,0,1,0,0
9/4/1998,Thursday,0.01449671,0.009573102,0.048346985,0,0,0,1,0
10/4/1998,Friday,0,0,0,0,0,0,0,1
13/4/1998,Monday,-0.002699996,-0.007073942,-0.023219616,1,0,0,0,0
14/4/1998,Tuesday,-0.011528818,-0.007480892,-0.014406801,0,1,0,0,0
15/4/1998,Wednesday,-0.012619381,-0.007844606,-0.00941727,0,0,1,0,0
16/4/1998,Thursday,-0.019826042,-0.024567638,-0.016568239,0,0,0,1,0
17/4/1998,Friday,0.000196579,0.003648444,-0.006809576,0,0,0,0,1
20/4/1998,Monday,-0.002814028,0.00019367,-0.00281674,1,0,0,0,0
21/4/1998,Tuesday,-0.005703319,-0.004441602,-0.018307448,0,1,0,0,0
22/4/1998,Wednesday,-0.013646488,-0.015072202,-0.031592716,0,0,1,0,0
23/4/1998,Thursday,0.002037342,0.000738783,0.002539869,0,0,0,1,0
24/4/1998,Friday,-0.003452539,-0.001829476,-0.024437544,0,0,0,0,1
27/4/1998,Monday,-0.006055776,-0.007224589,-0.012847649,1,0,0,0,0
28/4/1998,Tuesday,0.006510347,0.000311427,0.011264064,0,1,0,0,0
29/4/1998,Wednesday,0.010287897,0.019045456,-0.002722154,0,0,1,0,0
30/4/1998,Thursday,-0.001512821,0.002129478,0.045296166,0,0,0,1,0
1/5/1998,Friday,0,0,0,0,0,0,0,1
4/5/1998,Monday,-0.012335194,-0.002463913,-0.084899329,1,0,0,0,0
5/5/1998,Tuesday,-0.006887421,-0.020925155,-0.029383237,0,1,0,0,0
6/5/1998,Wednesday,-0.017796781,-0.010900391,-0.018566583,0,0,1,0,0
7/5/1998,Thursday,-0.006882657,-0.001684998,0.002248363,0,0,0,1,0
8/5/1998,Friday,-0.00306047,-0.003589967,0.003099889,0,0,0,0,1
11/5/1998,Monday,0,0,0,1,0,0,0,0
12/5/1998,Tuesday,-0.009503661,-0.008597745,-0.019843384,0,1,0,0,0
13/5/1998,Wednesday,-0.035586528,-0.036870451,-0.020636847,0,0,1,0,0
14/5/1998,Thursday,-0.017372991,-0.013630585,0.006464785,0,0,0,1,0
15/5/1998,Friday,0.014875909,0.013824449,-0.024323812,0,0,0,0,1
18/5/1998,Monday,-0.027937583,-0.028443822,-0.038915256,1,0,0,0,0
19/5/1998,Tuesday,0.000642553,-0.003922329,-0.00877739,0,1,0,0,0
20/5/1998,Wednesday,0.000658814,-0.006643653,-0.002542638,0,0,1,0,0
21/5/1998,Thursday,0.024393261,0.018557378,0.03197404,0,0,0,1,0
22/5/1998,Friday,0.002267307,0.003252146,-0.017465287,0,0,0,0,1
